"","Covariance_Data.d18O_VPDB","Covariance_Data.d13C_VPDB"
"1",-8.0383,-7.4968
"2",-9.7312,-6.8804
"3",-8.1066,-8.3526
"4",-9.1004,-9.6741
"5",-9.757,-6.6863
"6",-9.0697,-8.766
"7",-9.7757,-6.8522
"8",-7.2749,-8.3315
"9",-9.6897,-7.5099
"10",-9.9359,-7.2766
"11",-9.838,-6.8824
"12",-9.8677,-6.9679
"13",-9.9715,-7.5069
"14",-8.9303,-10.4404
"15",-7.8119,-9.1622
"16",-7.11935,-8.36471666666667
"17",-7.4909,-8.47705
"18",-8.46914285714286,-8.89954285714286
"19",-9.62543333333333,-6.97153333333333
"20",-9.2282,-6.89965
"21",-9.3886,-7.86495
"22",-9.9976,-6.4955
"23",-9.7382,-8.661
"24",-9.7033,-6.8296
"25",-9.96143333333333,-7.1782
