 ,Area,Mean,Min,Max,Angle,Length
1,1.740,137.521,5.000,254.397,-14.760,17.270
2,0.960,153.592,4.332,253.454,-140.117,9.513
3,1.100,141.439,102.000,174.563,-108.104,10.942
4,0.860,148.301,124.000,183.035,87.306,8.509
5,0.560,157.455,134.000,188.322,12.529,5.532
6,1.090,116.213,97.972,163.036,-102.242,10.847
7,1.020,142.532,120.907,176.065,28.339,10.112
8,0.910,146.283,119.000,189.000,114.286,8.996
9,1.000,151.358,123.073,176.901,169.487,9.865
10,0.810,127.223,106.700,189.786,43.479,7.993
11,0.990,147.118,107.000,200.398,-66.571,9.809
12,0.980,132.624,106.000,162.784,-7.712,9.687
13,1.080,151.701,126.056,183.000,147.653,10.653
14,1.190,152.786,103.775,190.760,-71.259,11.827
15,0.950,140.052,113.957,175.809,-1.219,9.402
16,0.890,144.306,111.000,203.960,-55.592,8.848
17,3.347,152.702,100.000,213.376,43.025,16.480
18,2.137,159.619,112.000,231.000,104.574,10.374
19,2.419,166.886,28.684,255.000,53.902,11.929
20,2.500,161.977,136.836,232.000,29.511,12.229
21,2.097,161.018,96.000,203.490,85.515,10.272
22,2.379,147.338,126.090,211.042,14.036,11.591
23,2.742,167.666,105.000,243.365,12.995,13.395
24,1.814,170.379,134.000,213.000,-17.199,8.828
25,1.411,168.442,91.000,232.000,61.928,6.827
26,1.264,174.428,7.196,254.199,66.534,13.296
27,1.175,170.056,124.252,239.464,73.217,12.374
28,0.792,159.470,106.755,233.595,61.133,8.332
29,0.774,184.684,157.986,229.047,6.044,8.098
30,0.952,196.272,159.658,245.811,133.847,9.963
31,0.819,169.806,137.667,243.889,136.762,8.632
