Sample,Date,Depth,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Total,estimated_HCO3- (M)
190711_0.5,190711,0.5,0.000007466835681,0.001861655582,0,0,0.00004835183003,0,0.01063230233,0.01254977658,0.0010037
190711_2.5,190711,2.5,0.000007832727437,0.001989929189,0,0,0.00006188827429,0,0.01097789383,0.01303754403,0.001705
190711_5,190711,5,0.000008107465423,0.002095180632,0,0.0000006300334534,0.00006651353512,0,0.01179542192,0.01396585358,0.0019837
190711_7.5,190711,7.5,0.000007905154056,0.002116150148,0,0.0000006292662665,0.00007495830138,0,0.01201426516,0.01421390803,0.0019527
190711_10,190711,10,0.000009520706853,0.002117991702,0,0,0.00007923337607,0,0.01210485814,0.01431160393,0.0021938
190711_15,190711,15,0.000008747834405,0.002150067327,0,0.0000006471139309,0.00007709192753,0,0.01225949728,0.01449605149,0.0019899
190814_0.5,190814,0.5,0.0000076041125,0.001926058274,0,0,0.00005214326387,0,0.01088731869,0.01287312434,0.0010833
190814_7.5,190814,7.5,0.000008252794653,0.002094806046,0,0,0.00007099088708,0,0.01188836184,0.01406241156,0.0017885
190814_15,190814,15,0.000008818366397,0.002232463498,0,0.0000009946336902,0.00005954457253,0,0.01284767342,0.01514949449,0.002011
190529_0.5,190529,0.5,0.000006486045692,0.001870544628,0,0,0.00005309082382,0,0.01077992283,0.01271004433,0.0010492
190529_2.5,190529,2.5,0.000006980921321,0.001924705906,0,0,0.0000591641741,0,0.01086243716,0.01285328817,0.0013721
190529_5,190529,5,0.000006793907226,0.001926701573,0,0,0.00005861808818,0,0.01084165136,0.01283376493,0.0012763
190529_7.5,190529,7.5,0.0000086905684,0.002086431698,0,0,0.00007150871929,0,0.0117574573,0.01392408828,0.0020478
190529_10,190529,10,0.000008571957222,0.002108435574,0,0.0000007366551216,0.00006715697046,0,0.01204430933,0.01422921048,0.0019092
190612_0.5,190612,0.5,0.000007458418389,0.001855341852,0,0,0.00005254984402,0,0.01065083115,0.01256618127,0.0011314
190612_2.5,190612,2.5,0.000007238302392,0.001879567407,0,0,0.00005493752327,0,0.0106756092,0.01261735243,0.0011277
190612_5,190612,5,0.000008656634439,0.002084528519,0,0.0000006699334807,0.00007244076504,0,0.01176969531,0.01393599116,0.0020282
190612_7.5,190612,7.5,0.000007848586933,0.002120602102,0,0.0000006625460908,0.00007126057808,0,0.01201304937,0.01421342318,0.0018221
190612_10,190612,10,0.000009155854243,0.002133361211,0,0.0000006249655518,0.00008091691705,0,0.01208811221,0.01431217116,0.0021069
190612_15,190612,15,0.000008776342759,0.002158828947,0,0.0000007042327369,0.00006929202948,0,0.01222276048,0.01446036203,0.0019457
190515_0.5,190515,0.5,0.000007428385373,0.001904889871,0,0,0.00005739183797,0,0.01087517252,0.01284488262,0.0013484
190515_2.5,190515,2.5,0.000008274182086,0.001941000026,0,0,0.00005866000743,0,0.01090007918,0.0129080134,0.0013654
190515_5,190515,5,0.000009062403368,0.002037925042,0,0,0.00006848761934,0,0.01155074585,0.01366622092,0.0017923
190515_7.5,190515,7.5,0.000008409830242,0.002121378229,0,0.0000006721985105,0.00006889546227,0,0.01200921218,0.0142085679,0.0018478
190515_10,190515,10,0.000008726559576,0.002109242869,0,0.0000006656441927,0.000067191636,0,0.01207047439,0.0142563011,0.0017072
