Date,Depth,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium
190711,0.5,n.a.,24.30989981,0.021017564,2.243299989,55.65174424,370.5425603
190711,2.5,n.a.,25.93793266,0.010316454,2.442091118,58.58248707,394.953658
190711,5,n.a.,27.65581303,0.019896461,2.578126506,62.41204963,427.6123721
190711,7.5,n.a.,27.93399768,0.148600604,2.696285549,62.83354937,435.3305241
190711,10,n.a.,27.67769618,0.025314646,2.569105943,63.34433664,443.4253722
190711,15,n.a.,27.61980795,0.064533132,2.730153986,63.72982781,445.4318445
190814,0.5,n.a.,24.95600373,0.007876977,2.361452403,57.63448377,379.8264754
190814,7.5,n.a.,26.95825766,n.a.,2.578461008,62.02233706,428.7634779
190814,15,n.a.,28.13484451,0.199902043,2.998048498,65.42932064,467.3438441
190529,0.5,n.a.,24.2578448,0.082600932,2.287526012,56.07648196,376.9497823
190529,2.5,n.a.,24.87046662,0.017041688,2.329775013,57.3523553,385.2755247
190529,5,n.a.,24.8918767,0.046218142,2.360142609,56.89015341,383.3004673
190529,7.5,n.a.,26.55963993,0.053617381,2.594174627,62.29783092,428.4231727
190529,10,n.a.,27.34149931,0.067294797,2.646256029,63.37792294,435.022226
190612,0.5,n.a.,24.62299311,0.031851013,2.273325867,55.97844829,372.9755848
190612,2.5,n.a.,24.53935149,0.038758411,2.275301164,56.12786407,374.2725554
190612,5,n.a.,26.82012614,0.046845052,2.63633082,62.40781841,428.1317405
190612,7.5,n.a.,27.23115246,0.060692621,2.613500569,63.16328751,432.8286574
190612,10,n.a.,27.60997559,0.050757321,2.641084556,63.2487114,441.5173136
190612,15,n.a.,28.06010503,0.086544605,2.703984281,63.84281608,442.5694564
190515,0.5,n.a.,25.02834863,0.067615186,2.34150204,56.70444887,385.8084517
190515,2.5,n.a.,25.16979457,0.080771323,2.44348255,57.63541392,386.2010403
190515,5,n.a.,26.57440368,0.069553155,2.529207647,61.09499792,416.0318375
190515,7.5,n.a.,27.08432874,0.065383026,2.673303292,62.62757078,434.1264655
190515,10,n.a.,27.20196214,0.101033134,2.685373286,62.93539264,432.8624419
