Sample,d18O,dD
190829_2.5,-8.489425597,-63.31
190626_7.5,-9.880437335,-69.24
190626_5,-9.754566657,-68.83
191024_7.5,-9.149743976,-65.61
190612_15,-10.0127423,-69.34
190626_10,-9.660053229,-69.56
190626_0.5,-8.852295474,-64.89
190711_7.5,-9.606013097,-68.46
190626_2.5,-9.121074023,-65.69
190515_7.5,-9.573507755,-68.13
191024_10,-9.686870136,-68.82
190529_0.5,-9.039607509,-65.50
190529_5,-9.264097529,-66.73
190529_2.5,-9.32951453,-67.02
190612_10,-9.619015234,-68.41
191024_15,-9.891044317,-69.57
190612_2.5,-9.002632682,-65.13
191024_2.5,-9.002226365,-65.09
190724_7.5,-9.587119367,-68.17
190612_5,-9.569241429,-68.23
190814_7.5,-9.4946823,-67.64
190515_0.5,-9.346376676,-67.06
190814_0.5,-8.644464442,-63.46
190612_0.5,-8.932543038,-64.65
190515_2.5,-9.290711278,-66.86
190829_0.5,-8.615412793,-63.20
190724_0.5,-9.244898958,-65.86
191024_5,-9.734751295,-66.86
190612_7.5,-10.37649583,-70.21
190711_0.5,-9.331237681,-65.27
191024_0.5,-9.942403918,-67.09
190711_2.5,-9.904231011,-68.28
190829_2.5,-9.190737398,-64.87
